work_year,person_gender,experience_level,employment_type,job_title,salary,income_class,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,female,SE,FT,Machine Learning Engineer,365100,upper,USD,365100,US,0,US,M
2024,male,SE,FT,Data Architect,363000,upper,USD,363000,US,0,US,M
2024,female,SE,FT,Data Architect,363000,upper,USD,363000,US,0,US,M
2024,female,SE,FT,Research Scientist,360000,upper,USD,360000,US,0,US,M
2024,male,MI,FT,Research Engineer,360000,upper,USD,360000,US,0,US,M
2023,male,SE,FT,AI Engineer,360000,upper,USD,360000,US,0,US,M
2023,female,SE,FT,BI Analyst,360000,upper,TRY,18381,TR,100,TR,L
2024,male,MI,FT,Research Scientist,359400,upper,USD,359400,US,100,US,M
2024,female,MI,FT,Research Scientist,359400,upper,USD,359400,US,100,US,M
2024,male,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,female,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,male,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,female,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,female,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,female,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,female,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,female,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,male,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,male,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2023,male,SE,FT,Data Scientist,359170,upper,USD,359170,US,0,US,M
2024,female,SE,FT,ML Engineer,357900,upper,USD,357900,US,0,US,M
2023,male,SE,FT,Data Architect,354200,upper,USD,354200,US,100,US,M
2023,male,EX,FT,Director of Data Science,353200,upper,USD,353200,US,0,US,M
2023,female,EX,FT,Director of Data Science,353200,upper,USD,353200,US,0,US,M
2023,male,SE,FT,Computer Vision Engineer,351000,upper,USD,351000,US,0,US,M
2023,male,EN,FT,Research Engineer,350000,upper,USD,350000,US,0,US,M
2023,female,EX,FT,Data Engineer,350000,upper,USD,350000,US,100,US,M
2023,male,SE,FT,AI Engineer,350000,upper,USD,350000,US,0,US,M
2023,female,SE,FT,Data Lead,350000,upper,USD,350000,US,0,US,M
2023,female,MI,FT,Analytics Engineer,350000,upper,GBP,430640,GB,0,GB,M
2023,female,SE,FT,Applied Scientist,350000,upper,USD,350000,US,0,US,L
2022,male,MI,FT,Data Analyst,350000,upper,GBP,430967,GB,0,GB,M
2022,male,SE,FT,Data Scientist,350000,upper,USD,350000,US,100,US,M
2022,male,SE,FT,Data Architect,345600,upper,USD,345600,US,0,US,M
2024,female,SE,FT,Analytics Engineer,345400,upper,USD,345400,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,345400,upper,USD,345400,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,345400,upper,USD,345400,US,0,US,M
2024,male,SE,FT,Research Scientist,345000,upper,USD,345000,US,0,US,M
2023,male,SE,FT,Research Scientist,345000,upper,USD,345000,US,0,US,M
2023,male,SE,FT,Computer Vision Engineer,342810,upper,USD,342810,US,0,US,M
2024,male,SE,FT,Data Analytics Lead,342400,upper,USD,342400,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,342300,upper,USD,342300,US,0,US,L
2024,male,SE,FT,Machine Learning Engineer,340000,upper,USD,340000,US,0,US,M
2024,male,SE,FT,Research Scientist,340000,upper,USD,340000,US,100,US,M
2023,female,SE,FT,Machine Learning Engineer,340000,upper,USD,340000,US,0,US,M
2023,male,MI,FT,Research Scientist,340000,upper,USD,340000,US,100,US,M
2024,male,SE,FT,Research Engineer,339250,upper,USD,339250,US,0,US,M
2024,female,SE,FT,Research Scientist,337300,upper,USD,337300,US,0,US,M
2024,male,SE,FT,Research Scientist,337300,upper,USD,337300,US,0,US,M
2024,male,SE,FT,Research Scientist,337300,upper,USD,337300,US,0,US,M
2024,male,SE,FT,Research Scientist,337300,upper,USD,337300,US,0,US,M
2023,female,EX,FT,Director of Data Science,336400,upper,USD,336400,US,0,US,M
2023,male,SE,FT,ML Engineer,336300,upper,USD,336300,US,0,US,M
2024,female,EX,FT,Data Engineer,334075,upper,USD,334075,CA,0,CA,M
2024,male,SE,FT,Research Scientist,333500,upper,USD,333500,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,333500,upper,USD,333500,US,0,US,M
2024,female,SE,FT,Research Engineer,333500,upper,USD,333500,US,0,US,M
2024,female,SE,FT,Research Engineer,333500,upper,USD,333500,US,0,US,M
2023,male,SE,FT,Data Engineer,333500,upper,USD,333500,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,333500,upper,USD,333500,US,0,US,M
2023,male,EX,FT,Data Engineer,333500,upper,USD,333500,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2024,male,SE,FT,Data Engineer,331640,upper,USD,331640,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,ML Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,male,SE,FT,Deep Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Data Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Data Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Deep Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,331640,upper,USD,331640,US,0,US,M
2024,female,SE,FT,Data Science,331292,upper,USD,331292,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,330000,upper,USD,330000,US,100,US,M
2023,male,EX,FT,Head of Machine Learning,330000,upper,USD,330000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,330000,upper,USD,330000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,330000,upper,USD,330000,US,0,US,M
2023,male,SE,FT,AI Architect,330000,upper,USD,330000,US,0,US,M
2023,female,SE,FT,AI Architect,330000,upper,USD,330000,US,0,US,M
2023,male,SE,FT,AI Architect,330000,upper,USD,330000,US,0,US,M
2023,male,SE,FT,AI Architect,330000,upper,USD,330000,US,0,US,M
2023,male,EX,FT,Head of Data Science,330000,upper,USD,330000,US,0,US,M
2023,male,SE,FT,Data Scientist,329700,upper,USD,329700,US,0,US,M
2023,female,EX,FT,Head of Data,329500,upper,USD,329500,US,100,US,M
2023,female,EX,FT,Head of Data,329500,upper,USD,329500,US,100,US,M
2023,male,EX,FT,Head of Data,329500,upper,USD,329500,US,0,US,M
2023,female,EX,FT,Head of Data,329500,upper,USD,329500,US,0,US,M
2024,male,SE,FT,Analytics Engineer,329200,upper,USD,329200,CA,100,CA,M
2023,female,SE,FT,Machine Learning Engineer,328400,upper,USD,328400,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,328133,upper,USD,328133,US,0,US,M
2024,male,MI,FT,Data Science Manager,328000,upper,USD,328000,US,0,US,M
2023,male,SE,FT,Data Science Manager,328000,upper,USD,328000,US,0,US,M
2024,male,EX,FT,Data Science,326000,upper,USD,326000,US,100,US,M
2024,male,MI,FT,Data Analyst,325000,upper,USD,325000,US,0,US,M
2023,female,SE,FT,Machine Learning Scientist,325000,upper,USD,325000,US,100,US,M
2023,female,SE,FT,Analytics Engineering Manager,325000,upper,GBP,399880,GB,50,GB,L
2020,female,EX,FT,Director of Data Science,325000,upper,USD,325000,US,100,US,L
2024,male,SE,FT,Data Science,324100,upper,USD,324100,US,0,US,L
2024,female,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2024,female,SE,FT,Data Science,324000,upper,USD,324000,US,100,US,M
2024,female,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2024,male,SE,FT,ML Engineer,324000,upper,USD,324000,US,0,US,M
2024,male,SE,FT,Data Scientist,324000,upper,USD,324000,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2023,male,SE,FT,ML Engineer,324000,upper,USD,324000,US,0,US,M
2023,female,SE,FT,Data Scientist,324000,upper,USD,324000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,324000,upper,USD,324000,US,0,US,M
2022,female,EX,FT,Data Engineer,324000,upper,USD,324000,US,100,US,M
2024,female,EX,FT,Data Science,323700,upper,USD,323700,US,100,US,M
2024,male,SE,FT,Research Scientist,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Research Scientist,323300,upper,USD,323300,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Data Scientist,323300,upper,USD,323300,US,0,US,M
2023,female,SE,FT,Data Scientist,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Data Scientist,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Data Scientist,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Research Scientist,323300,upper,USD,323300,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,323300,upper,USD,323300,US,0,US,M
2024,male,SE,FT,Data Scientist,322000,upper,USD,322000,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,322000,upper,USD,322000,US,100,US,M
2024,male,SE,FT,Machine Learning Engineer,322000,upper,USD,322000,US,100,US,M
2024,male,MI,FT,Data Product Owner,321830,upper,USD,321830,US,0,US,M
2024,male,SE,FT,Research Scientist,321000,upper,USD,321000,US,0,US,M
2024,male,SE,FT,Research Scientist,321000,upper,USD,321000,US,100,US,M
2024,male,EX,FT,Business Intelligence,320000,upper,USD,320000,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,319000,upper,USD,319000,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,319000,upper,USD,319000,US,100,US,M
2023,female,SE,FT,Machine Learning Engineer,318300,upper,USD,318300,US,100,US,M
2023,female,SE,FT,Machine Learning Engineer,318300,upper,USD,318300,US,100,US,M
2023,male,SE,FT,Machine Learning Engineer,317070,upper,USD,317070,US,0,US,M
2023,male,SE,FT,Data Scientist,317070,upper,USD,317070,US,0,US,M
2024,male,SE,FT,AI Architect,317000,upper,USD,317000,US,0,US,M
2024,female,SE,FT,Data Engineer,316900,upper,USD,316900,US,0,US,M
2023,male,SE,FT,Data Scientist,316000,upper,USD,316000,US,0,US,M
2023,male,SE,FT,Data Scientist,316000,upper,USD,316000,US,0,US,M
2023,male,SE,FT,Data Scientist,316000,upper,USD,316000,US,0,US,M
2023,male,SE,FT,ML Engineer,315850,upper,USD,315850,US,0,US,M
2023,male,SE,FT,ML Engineer,315850,upper,USD,315850,US,0,US,M
2023,male,SE,FT,Machine Learning Engineer,315300,upper,USD,315300,US,100,US,M
2024,female,SE,FT,Machine Learning Engineer,315000,upper,USD,315000,US,100,US,M
2022,female,SE,FT,Data Engineer,315000,upper,USD,315000,US,100,US,M
2024,male,SE,FT,Data Scientist,314100,upper,USD,314100,US,0,US,M
2023,male,EX,FT,Head of Data Science,314100,upper,USD,314100,US,0,US,M
2024,male,EX,FT,Data Engineer,314000,upper,USD,314000,CA,100,CA,M
2024,female,SE,FT,Data Engineer,313000,upper,USD,313000,US,100,US,M
2024,male,SE,FT,Data Engineer,313000,upper,USD,313000,US,100,US,M
2024,female,EX,FT,Data Engineer,312287,upper,USD,312287,US,0,US,M
2023,female,SE,FT,Machine Learning Engineer,311000,upper,USD,311000,US,0,US,M
2024,female,SE,FT,Data Scientist,310270,upper,USD,310270,US,0,US,M
2023,male,SE,FT,Data Scientist,310270,upper,USD,310270,US,0,US,M
2023,female,SE,FT,Data Scientist,310270,upper,USD,310270,US,0,US,M
2023,male,SE,FT,Data Scientist,310270,upper,USD,310270,US,0,US,M
2023,male,SE,FT,Data Scientist,310270,upper,USD,310270,US,0,US,M
2023,female,SE,FT,Data Scientist,310270,upper,USD,310270,US,0,US,M
2024,female,SE,FT,Machine Learning Engineer,310000,upper,USD,310000,US,0,US,M
2024,male,SE,FT,Machine Learning Engineer,310000,upper,USD,310000,US,0,US,M
2024,male,SE,FT,AI Engineer,310000,upper,USD,310000,US,0,US,M
